structure-atoms_600-11	0.890309
structure-atoms_400-11	0.889572
structure-atoms_600-12	0.888314
structure-atoms_400-12	0.888313
structure-atoms_600-10	0.886541
weighted-tfidf_structure-atoms_600-11	0.885947
structure-atoms_600-9	0.885331
structure-atoms_400-9	0.882711
structure-atoms_400-10	0.882365
structure-atoms_200-12	0.881763
structure-atoms_200-11	0.880513
weighted-tfidf_structure-atoms_600-9	0.880178
weighted-tfidf_structure-atoms_600-10	0.879647
weighted-tfidf_structure-atoms_400-11	0.879022
structure-atoms_200-10	0.878767
weighted-tfidf_structure-atoms_600-12	0.876301
structure-atoms_200-9	0.875895
weighted-tfidf_structure-atoms_400-12	0.875559
structure-atoms_250-7	0.875187
weighted-tfidf_structure-atoms_400-9	0.874402
weighted-tfidf_structure-atoms_400-10	0.872601
structure-atoms_200-7	0.871895
structure-atoms_300-6	0.871237
structure-atoms_100-11	0.871080
structure-atoms_100-9	0.870485
structure-atoms_100-10	0.869345
structure-atoms_100-12	0.867616
weighted-tfidf_structure-atoms_200-12	0.865283
weighted-tfidf_structure-atoms_200-10	0.864768
structure-atoms_225-5	0.864531
weighted-tfidf_structure-atoms_200-11	0.864512
structure-atoms_70-9	0.863894
structure-atoms_150-5	0.861483
structure-atoms_80-5	0.861095
weighted-tfidf_structure-atoms_200-9	0.860593
structure-atoms_60-5	0.859234
structure-atoms_100-5	0.858711
weighted-tfidf_structure-atoms_100-9	0.858016
weighted-tfidf_structure-atoms_300-6	0.857881
weighted-tfidf_structure-atoms_250-7	0.857027
structure-atoms_40-5	0.856975
weighted-tfidf_structure-atoms_100-11	0.856430
structure-atoms_50-9	0.855452
weighted-tfidf_structure-atoms_100-10	0.855008
weighted-tfidf_structure-atoms_100-12	0.853690
weighted-tfidf_structure-atoms_70-9	0.853412
weighted-tfidf_structure-atoms_200-7	0.852756
structure-atoms_20-5	0.851595
weighted-tfidf_structure-atoms_225-5	0.845981
weighted-tfidf_structure-atoms_50-9	0.844887
weighted-tfidf_structure-atoms_40-5	0.843890
weighted-tfidf_structure-atoms_60-5	0.841035
weighted-tfidf_structure-atoms_80-5	0.840877
weighted-tfidf_structure-atoms_150-5	0.840292
weighted-tfidf_structure-atoms_100-5	0.840164
weighted-tfidf_structure-atoms_20-5	0.837826
